id,carat,depth,table,x,y,z,price,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
26,1.01,65.1,56.0,6.2,6.15,4.02,8.691,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
27,1.04,61.8,60.0,6.51,6.47,4.01,8.382,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
28,0.51,62.4,59.0,5.13,5.06,3.18,7.778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0.31,63.3,55.0,4.31,4.35,2.74,6.299,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30,0.66,61.8,55.0,5.6,5.66,3.48,8.104,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
31,0.53,61.2,56.0,5.26,5.21,3.2,7.382,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
32,1.12,58.8,61.0,6.74,6.8,3.98,8.603,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
33,0.92,61.3,58.0,6.19,6.25,3.81,8.385,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
34,0.3,61.9,56.0,4.3,4.32,2.67,6.163,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
35,0.3,62.6,56.0,4.33,4.29,2.7,6.738,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
36,1.03,61.3,61.0,6.46,6.53,3.98,8.666,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
37,2.01,60.7,61.0,8.15,8.1,4.93,9.41,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
38,1.3,62.9,60.0,6.95,6.88,4.35,8.643,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
39,0.51,62.2,57.0,5.12,5.17,3.2,7.642,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40,1.15,62.7,57.0,6.68,6.64,4.17,8.871,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
41,0.31,62.4,53.0,4.33,4.36,2.71,6.465,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
42,0.7,65.0,59.0,5.57,5.5,3.6,7.592,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
43,1.05,62.8,58.0,6.48,6.44,4.06,8.729,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44,0.82,63.6,56.0,5.9,5.95,3.77,7.975,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
45,1.09,61.1,57.0,6.6,6.69,4.1,8.542,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
46,0.3,61.8,55.0,4.35,4.32,2.68,6.657,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,2.01,62.3,58.0,8.06,8.11,5.04,9.666,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
48,1.16,62.6,58.0,6.72,6.66,4.19,8.511,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
49,1.0,59.4,59.0,6.52,6.54,3.88,8.834,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
50,1.12,58.2,60.0,6.9,6.81,3.99,8.538,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,0.35,61.8,55.0,4.56,4.53,2.81,6.969,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,0.31,62.3,54.0,4.33,4.34,2.7,6.825,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
53,0.8,61.4,59.0,5.94,6.01,3.67,7.841,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
54,0.52,62.6,58.0,5.08,5.11,3.19,7.261,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
55,1.52,63.6,57.0,7.3,7.25,4.63,9.218,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
56,0.33,62.5,56.0,4.42,4.44,2.77,6.554,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
57,0.36,61.3,56.0,4.58,4.62,2.82,6.447,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
58,0.56,61.7,56.0,5.3,5.33,3.28,7.562,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,1.01,62.0,57.0,6.45,6.39,3.98,9.32,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
60,1.07,62.0,59.0,6.54,6.5,4.04,8.39,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
61,0.31,63.0,57.0,4.34,4.32,2.73,6.443,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
62,0.35,60.7,59.0,4.57,4.52,2.76,6.669,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
63,1.25,62.2,57.0,6.92,6.84,4.28,8.687,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
64,0.41,62.3,57.0,4.77,4.74,2.96,7.05,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
65,1.17,63.9,55.0,6.66,6.73,4.28,8.307,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
66,2.25,67.7,58.0,8.01,7.97,5.41,8.803,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,1.53,62.7,60.0,7.28,7.34,4.58,9.151,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
68,0.4,61.4,55.7,4.72,4.77,2.92,6.808,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
69,0.77,60.7,55.0,6.01,5.95,3.63,7.949,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
70,1.16,58.8,61.0,6.93,6.84,4.05,8.333,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
71,0.77,62.1,57.0,5.88,5.84,3.64,8.128,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
72,0.53,61.4,56.0,5.22,5.24,3.21,7.181,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,2.19,58.8,58.0,8.57,8.53,5.03,9.228,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
74,0.42,62.1,56.0,4.77,4.8,2.97,6.865,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
75,0.53,60.6,58.0,5.26,5.2,3.17,7.736,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
76,0.31,62.5,53.0,4.37,4.4,2.74,6.518,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
77,0.7,62.1,59.0,5.65,5.63,3.5,7.729,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78,2.04,62.5,58.0,8.09,8.22,5.1,9.734,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
79,0.9,63.6,58.0,6.11,6.1,3.88,8.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
80,0.7,68.3,56.0,5.52,5.4,3.73,6.886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,1.05,62.6,58.0,6.5,6.47,4.06,8.875,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
82,2.0,60.8,60.0,8.15,8.1,4.94,9.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,1.25,61.8,55.0,6.91,6.82,4.24,8.632,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
84,1.02,62.4,57.0,6.43,6.4,4.0,8.389,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
85,0.77,62.1,62.0,5.87,5.82,3.63,7.57,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
86,0.41,60.7,57.0,4.8,4.85,2.93,7.22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
87,1.02,59.8,59.0,6.54,6.5,3.9,8.363,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
88,1.62,62.1,55.0,7.53,7.58,4.69,9.259,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
89,0.9,62.8,57.0,6.14,6.18,3.87,8.142,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
90,0.3,60.5,59.0,4.34,4.32,2.62,6.697,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
91,1.2,62.0,58.0,6.84,6.77,4.22,8.622,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,1.25,60.9,60.0,6.93,6.97,4.23,9.473,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93,0.42,59.4,60.0,4.88,4.91,2.91,7.14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
94,1.33,60.3,58.0,7.16,7.19,4.33,8.79,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
95,1.14,62.6,56.0,6.69,6.63,4.17,8.518,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
96,0.33,61.6,56.0,4.46,4.43,2.74,6.91,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
97,0.41,62.2,57.0,4.74,4.78,2.96,6.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
98,0.33,61.2,58.0,4.45,4.5,2.74,6.501,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
99,1.2,62.5,57.0,6.73,6.84,4.24,8.566,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
100,0.38,61.6,56.0,4.67,4.65,2.87,6.974,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
101,0.31,58.8,62.0,4.39,4.42,2.59,6.136,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
102,0.9,60.4,58.0,6.12,6.24,3.73,8.33,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
103,0.39,62.1,54.6,4.67,4.7,2.91,7.003,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
104,0.44,63.5,57.0,4.82,4.85,3.07,6.597,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
105,0.31,62.7,55.0,4.31,4.34,2.71,6.599,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,0.32,61.7,60.0,4.41,4.38,2.71,6.356,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
107,0.4,63.8,54.0,4.73,4.7,3.01,6.682,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
108,0.52,62.5,56.0,5.12,5.16,3.21,7.396,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
109,1.11,61.5,59.0,6.67,6.63,4.09,8.447,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
110,1.01,61.8,58.0,6.33,6.38,3.93,8.668,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
111,0.53,61.7,55.0,5.23,5.21,3.22,7.579,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,1.72,62.2,58.0,7.63,7.7,4.77,9.677,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
113,0.81,62.4,57.0,5.91,5.99,3.71,7.97,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
114,0.32,62.4,58.0,4.4,4.35,2.73,6.579,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
115,0.34,62.1,55.0,4.46,4.49,2.78,6.797,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
116,0.54,61.4,57.0,5.2,5.25,3.21,7.416,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
117,0.55,61.6,56.0,5.26,5.28,3.25,7.391,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
118,0.38,61.3,59.0,4.62,4.68,2.85,6.24,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
119,1.0,63.4,60.0,6.22,6.34,3.98,8.21,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
120,0.35,63.1,56.0,4.49,4.54,2.85,6.497,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
121,0.44,63.8,54.0,4.85,4.8,3.08,6.877,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
122,1.13,61.4,58.0,6.73,6.68,4.12,8.99,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
123,1.02,62.0,55.0,6.47,6.44,4.0,8.645,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
124,1.0,59.9,60.0,6.46,6.5,3.88,9.042,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
125,0.44,63.1,56.0,4.83,4.87,3.06,6.924,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
126,0.34,62.1,57.0,4.44,4.48,2.77,6.168,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
127,0.41,62.4,54.0,4.76,4.79,2.98,6.841,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
128,0.4,61.9,59.0,4.75,4.72,2.93,6.882,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
129,0.74,61.9,59.1,5.74,5.77,3.56,7.904,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
130,0.33,62.7,56.0,4.39,4.44,2.77,6.758,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
131,0.32,61.3,57.0,4.44,4.46,2.73,6.569,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,0.51,61.9,57.0,5.11,5.13,3.17,7.488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,1.23,63.0,56.0,6.83,6.79,4.29,8.681,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
134,0.33,61.1,59.0,4.42,4.45,2.71,6.198,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
135,0.38,61.1,56.0,4.68,4.71,2.87,6.855,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
136,1.74,58.7,60.0,7.84,7.9,4.62,9.289,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
137,0.41,61.7,56.0,4.77,4.79,2.95,7.059,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
138,0.32,62.3,56.0,4.35,4.37,2.72,6.51,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
139,0.71,61.2,57.0,5.74,5.82,3.54,7.782,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
140,0.74,61.6,55.0,5.81,5.87,3.6,7.787,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
141,0.7,60.4,58.0,5.78,5.71,3.47,7.992,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
142,1.73,61.0,59.0,7.75,7.68,4.71,9.123,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
143,0.5,60.4,55.0,5.16,5.2,3.13,7.383,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
144,3.01,65.4,60.0,8.99,8.93,5.86,9.713,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
145,0.35,59.3,61.0,4.62,4.58,2.73,6.892,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
146,0.42,61.6,57.0,4.8,4.84,2.97,7.008,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
147,0.92,62.6,59.0,6.23,6.19,3.89,8.212,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
148,1.35,62.3,57.0,7.06,7.12,4.42,8.929,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
149,0.65,60.0,63.0,5.62,5.54,3.35,7.503,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
150,1.05,61.6,57.0,6.56,6.53,4.03,8.623,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
151,2.27,62.4,58.0,8.41,8.36,5.23,9.75,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
152,0.3,62.7,56.0,4.27,4.28,2.68,6.009,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
153,0.61,62.0,57.0,5.43,5.46,3.37,7.394,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
154,1.0,62.3,60.0,6.28,6.36,3.94,8.703,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
155,0.32,61.7,58.0,4.37,4.41,2.71,6.33,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
156,1.6,62.1,56.0,7.51,7.43,4.64,9.153,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
157,1.0,59.9,59.0,6.48,6.44,3.87,8.503,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
158,0.3,60.7,58.0,4.35,4.32,2.63,6.654,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
159,0.72,63.3,57.0,5.71,5.67,3.6,7.815,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
160,1.0,61.3,58.0,6.45,6.41,3.94,8.274,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
161,1.04,60.8,60.0,6.49,6.56,3.97,8.562,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
162,0.51,60.1,56.0,5.35,5.16,3.16,7.655,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
163,1.02,58.4,57.0,6.64,6.59,3.86,8.833,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
164,0.54,61.0,58.0,5.24,5.25,3.2,7.503,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
165,0.53,62.2,54.0,5.22,5.17,3.23,7.626,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
166,0.81,62.0,56.0,6.0,6.03,3.73,7.744,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
167,1.16,64.2,58.6,6.61,6.66,4.26,8.578,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
168,0.83,60.7,57.0,6.08,6.05,3.68,7.697,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
169,0.65,58.3,64.0,5.7,5.62,3.3,7.54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
170,1.0,60.5,59.0,6.54,6.49,3.94,8.343,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
171,1.01,59.9,59.0,6.52,6.57,3.92,8.828,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
172,1.09,61.4,58.0,6.64,6.58,4.06,8.644,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
173,0.7,61.4,57.0,5.64,5.76,3.5,7.714,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
174,0.33,62.5,57.0,4.39,4.41,2.75,6.361,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
175,1.24,61.6,57.0,6.92,6.84,4.24,8.848,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
176,0.62,61.9,58.0,5.49,5.46,3.39,7.711,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
177,0.59,62.3,55.0,5.37,5.39,3.35,7.266,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
178,1.5,62.5,59.0,7.3,7.26,4.55,9.111,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
179,0.41,62.1,57.0,4.76,4.77,2.96,7.151,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
180,0.3,62.1,55.0,4.32,4.34,2.69,6.76,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
181,1.21,61.5,56.0,6.83,6.87,4.22,8.809,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
182,1.43,61.6,54.0,7.25,7.29,4.48,9.223,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
183,1.0,62.4,58.0,6.36,6.33,3.96,8.48,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184,3.01,60.7,59.0,9.35,9.22,5.64,9.837,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
185,1.07,60.5,59.0,6.67,6.59,4.01,8.381,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
186,0.32,62.3,53.0,4.41,4.45,2.76,6.822,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
187,0.44,61.9,55.0,4.89,4.86,3.02,6.978,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
188,1.28,61.3,55.0,7.01,7.06,4.31,9.097,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
189,0.58,63.8,56.0,5.3,5.33,3.39,7.236,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
190,0.31,61.2,55.0,4.37,4.39,2.68,6.599,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
191,1.23,60.8,59.0,6.9,6.94,4.21,9.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
192,0.72,60.7,55.0,5.83,5.85,3.54,8.094,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
193,0.31,58.1,62.0,4.44,4.47,2.59,5.866,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
194,0.61,63.7,60.0,5.34,5.28,3.38,7.122,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
195,1.14,60.8,58.0,6.79,6.74,4.11,8.519,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
196,0.31,61.3,54.0,4.38,4.4,2.69,6.792,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
197,0.43,61.9,55.0,4.84,4.86,3.0,6.849,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
198,0.39,59.7,58.0,4.75,4.73,2.83,7.162,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
199,0.33,61.8,55.0,4.49,4.51,2.78,5.999,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
200,2.22,62.7,58.0,8.33,8.28,5.21,9.554,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
201,0.39,60.8,58.0,4.72,4.76,2.88,7.076,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
202,1.06,62.7,54.0,6.52,6.55,4.1,8.69,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
203,1.02,62.7,56.0,6.44,6.38,4.02,8.833,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
204,0.3,61.8,56.0,4.32,4.29,2.66,6.738,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
205,0.43,59.9,58.0,4.93,4.89,2.94,7.029,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
206,0.41,60.6,57.0,4.82,4.79,2.91,7.366,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207,0.33,61.6,55.0,4.45,4.48,2.75,6.501,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
208,0.92,63.3,57.0,6.17,6.22,3.92,8.202,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
209,1.01,63.9,57.0,6.36,6.29,4.04,8.449,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
210,0.31,61.7,54.0,4.38,4.4,2.71,6.1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
211,0.54,61.6,56.0,5.23,5.26,3.23,7.47,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
212,1.05,61.9,58.0,6.45,6.5,4.01,8.436,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
213,0.33,60.9,56.0,4.5,4.53,2.75,6.236,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
